Tilenum, RMS
26180, 0.1225
19508, 0.1657
11317, 0.8274
11319, 0.2390
44088, 0.1773
24382, 0.3318
3141, 1.6090
11334, 0.2023
11335, 0.1343
27720, 0.1437
27721, 0.1371
27722, 0.1530
27723, 0.3335
3149, 0.9711
3150, 1.0307
3151, 0.4392
3152, 0.8890
3153, 0.4821
3154, 0.5035
3155, 0.4309
3156, 0.3679
3157, 0.3265
3158, 0.3089
3159, 0.3170
3160, 0.4077
3161, 0.3377
3162, 0.3569
3163, 0.3122
3164, 0.3255
3165, 0.2993
3166, 0.3133
3167, 0.3201
3171, 1.3620
3172, 0.8302
3173, 0.3811
3174, 0.6376
3175, 0.3405
